gender,ssc_p,ssc_b,hsc_p,hsc_b,degree_p,etest_p,salary,Majoredu,workexp,location,skill1,skill2,skill3,skill4,Jobprofile
M,58.0,Central,70.0,Central,61.0,54.0,,Buisness,6,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,88.0,Central,72.0,Central,78.0,82.0,252000.0,Computer,1,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,52.0,Others,52.0,Others,55.0,67.0,,Buisness,2,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,76.0,Central,64.0,Central,72.0,58.0,,Buisness,1,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,68.2,Central,72.8,Central,66.6,96.0,300000.0,Architecture,3,Ahmedabad,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,74.0,Others,66.0,Others,58.0,70.0,204000.0,Computer,2,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,58.0,Central,61.0,Central,60.0,62.0,260000.0,Art,2,Banglore,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,62.0,Others,51.0,Others,52.0,68.44,,Buisness,4,kolkata,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,69.0,Central,78.0,Central,72.0,71.0,300000.0,Buisness,7,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,63.4,Others,67.2,Others,60.0,58.06,,Art,4,Chennai,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,63.0,Others,67.0,Others,66.0,68.0,265000.0,Buisness,3,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,76.5,Others,97.7,Others,78.86,97.4,360000.0,Buisness,4,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,63.4,Others,67.2,Others,60.0,58.06,,Art,2,Chennai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Computer,7,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,54.0,Central,82.0,Others,63.0,50.0,,Art,6,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,63.0,Central,66.0,Central,64.0,68.0,,Computer,5,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,77.0,Others,73.0,Others,81.0,89.0,200000.0,Architecture,3,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,59.96,Others,42.16,Others,61.26,54.48,,Art,7,Gurgaon,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,69.0,Others,60.0,Others,65.0,87.55,300000.0,Art,7,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,58.0,Others,60.0,Others,72.0,74.0,275000.0,Architecture,4,Noida,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,62.0,Others,65.0,Others,66.0,50.0,265000.0,Computer,6,Delhi,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,67.0,Central,70.0,Central,65.0,88.0,,Art,6,kolkata,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,46.0,Others,49.2,Others,79.0,74.28,,Architecture,6,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,55.0,Others,49.8,Others,67.25,55.0,,Computer,7,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,80.0,Others,73.0,Others,75.0,61.0,240000.0,Buisness,6,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,77.0,Others,73.0,Others,81.0,89.0,200000.0,Architecture,3,Banglore,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,81.0,Others,68.0,Others,64.0,93.0,411000.0,Art,7,Noida,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,83.33,Central,78.0,Others,61.0,88.56,300000.0,Architecture,6,kolkata,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,63.0,Central,66.2,Central,65.6,60.0,300000.0,Buisness,6,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,87.0,Others,87.0,Others,68.0,95.0,300000.0,Buisness,4,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,69.0,Central,78.0,Central,72.0,71.0,300000.0,Computer,1,Gurgaon,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,67.0,Central,53.0,Central,65.0,64.0,,Architecture,1,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,62.0,Central,60.33,Others,64.21,63.0,,Buisness,6,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,77.8,Central,64.0,Central,64.2,75.5,,Architecture,4,Nagpur,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,74.0,Others,59.0,Others,73.0,60.0,240000.0,Computer,2,Pune,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,77.4,Others,60.0,Others,64.74,92.0,300000.0,Art,3,Banglore,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Computer,1,Ahmedabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,62.0,Central,67.0,Central,58.0,77.0,,Computer,4,Nagpur,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,84.0,Others,90.9,Others,64.5,86.04,270000.0,Architecture,5,Delhi,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,54.2,Central,63.0,Others,58.0,79.0,,Art,1,Noida,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,83.0,Others,74.0,Others,66.0,68.92,275000.0,Computer,1,Delhi,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,77.0,Central,87.0,Central,59.0,68.0,218000.0,Architecture,1,Gurgaon,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,61.0,Central,81.0,Central,66.4,50.89,278000.0,Buisness,3,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,63.4,Others,67.2,Others,60.0,58.06,,Buisness,6,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,69.5,Central,70.0,Central,72.0,57.2,250000.0,Computer,7,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,41.0,Central,42.0,Central,60.0,97.0,,Computer,3,Ahmedabad,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,69.0,Others,65.0,Others,57.0,73.0,265000.0,Architecture,2,Pune,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,81.0,Others,68.0,Others,64.0,93.0,411000.0,Architecture,4,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,81.0,Others,68.0,Others,64.0,93.0,411000.0,Architecture,4,Nagpur,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,62.0,Central,72.0,Central,65.0,67.0,216000.0,Buisness,5,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,74.0,Others,73.0,Others,73.0,80.0,210000.0,Architecture,4,Hyderabad,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,75.0,Others,70.29,Others,71.0,95.0,240000.0,Architecture,1,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,63.0,Others,62.0,Others,65.0,87.5,,Art,1,Hyderabad,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,74.2,Central,87.6,Others,77.25,75.2,285000.0,Computer,2,Noida,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,69.0,Others,60.0,Others,65.0,87.55,300000.0,Art,4,kolkata,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,73.0,Others,58.0,Others,66.0,53.7,240000.0,Computer,7,Ahmedabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,63.0,Central,60.0,Central,57.0,78.0,204000.0,Architecture,6,Mumbai,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
F,74.0,Others,63.16,Others,65.0,65.0,,Computer,5,Delhi,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,52.0,Central,63.0,Others,65.0,86.0,,Buisness,6,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,74.0,Others,73.0,Others,73.0,80.0,210000.0,Architecture,4,Hyderabad,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,60.0,Others,67.0,Others,70.0,50.48,236000.0,Architecture,4,Pune,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,52.0,Central,62.0,Central,54.0,72.0,,Art,2,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,70.0,Central,63.0,Central,66.0,61.28,240000.0,Architecture,3,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,81.0,Others,68.0,Others,64.0,93.0,411000.0,Architecture,4,Nagpur,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,58.0,Others,40.0,Others,59.0,73.0,,Art,5,Noida,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,80.6,Others,82.0,Others,77.6,91.0,400000.0,Buisness,4,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,76.0,Central,64.0,Central,72.0,58.0,,Buisness,6,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,76.0,Central,64.0,Central,72.0,58.0,,Computer,5,Hyderabad,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,52.0,Others,52.0,Others,55.0,67.0,,Buisness,5,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,52.0,Central,57.0,Central,50.8,67.0,,Buisness,5,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,69.0,Central,62.0,Central,66.0,75.0,,Buisness,1,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,69.7,Central,47.0,Central,72.7,79.0,,Buisness,3,Pune,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,73.0,Central,79.0,Central,72.0,91.34,231000.0,Architecture,6,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,63.0,Central,67.0,Central,74.0,82.0,,Architecture,3,kolkata,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,65.0,Central,68.0,Others,69.0,53.7,250000.0,Architecture,3,Ahmedabad,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,58.0,Others,61.0,Others,61.0,58.0,250000.0,Computer,3,Noida,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Buisness,2,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,70.0,Central,63.0,Central,66.0,61.28,240000.0,Buisness,3,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,59.0,Central,64.0,Others,58.0,85.0,,Art,2,Gurgaon,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,85.8,Central,73.6,Central,73.3,96.8,425000.0,Art,3,Ahmedabad,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,43.0,Central,60.0,Others,65.0,92.66,,Buisness,2,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Architecture,3,Ahmedabad,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,69.5,Central,70.0,Central,72.0,57.2,250000.0,Computer,7,Delhi,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,67.9,Others,62.0,Others,67.0,58.1,,Architecture,2,Delhi,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,62.0,Others,62.0,Others,60.0,63.0,240000.0,Computer,6,Chennai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,63.0,Central,60.0,Central,57.0,78.0,204000.0,Computer,2,Noida,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,80.6,Others,82.0,Others,77.6,91.0,400000.0,Buisness,7,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,73.0,Central,79.0,Central,72.0,91.34,231000.0,Art,6,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,75.4,Others,60.5,Central,84.0,98.0,240000.0,Buisness,5,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,63.0,Others,62.0,Others,65.0,87.5,,Buisness,1,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,58.0,Others,60.0,Others,72.0,74.0,275000.0,Computer,4,Nagpur,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Buisness,3,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,78.0,Central,77.0,Others,80.0,60.0,287000.0,Art,5,Chennai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,87.0,Others,65.0,Others,81.0,88.0,260000.0,Computer,3,Chennai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,66.0,Central,76.0,Central,72.0,84.0,275000.0,Buisness,4,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Buisness,2,Noida,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,85.0,Central,60.0,Others,73.43,60.0,260000.0,Architecture,7,Delhi,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,59.0,Central,64.0,Others,58.0,85.0,,Art,5,Gurgaon,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,67.9,Others,62.0,Others,67.0,58.1,,Computer,2,Banglore,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,50.0,Others,37.0,Others,52.0,65.0,,Computer,2,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,82.0,Others,61.0,Others,62.0,89.0,360000.0,Computer,4,Noida,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,63.0,Central,60.0,Central,57.0,78.0,204000.0,Buisness,3,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,55.68,Others,61.33,Others,56.87,66.0,260000.0,Architecture,5,Pune,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,60.0,Others,67.0,Others,70.0,50.48,236000.0,Buisness,5,Gurgaon,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,87.0,Others,65.0,Others,81.0,88.0,260000.0,Architecture,2,Gurgaon,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,58.0,Central,70.0,Central,61.0,54.0,,Buisness,3,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,58.0,Central,70.0,Central,61.0,54.0,,Computer,2,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Buisness,2,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,52.0,Central,63.0,Others,65.0,86.0,,Architecture,2,Delhi,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,51.0,Central,44.0,Central,57.0,64.0,,Computer,1,Mumbai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
F,66.5,Others,70.4,Central,71.93,61.0,230000.0,Architecture,4,Mumbai,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,77.0,Others,75.0,Others,73.0,80.0,240000.0,Architecture,6,Hyderabad,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,74.0,Others,63.16,Others,65.0,65.0,,Computer,7,kolkata,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Art,1,Noida,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,60.8,Central,68.4,Central,64.6,82.66,940000.0,Art,2,Mumbai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,69.6,Central,68.4,Central,78.3,60.0,250000.0,Buisness,2,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,55.6,Others,51.0,Others,57.5,57.63,,Buisness,1,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
F,61.0,Central,81.0,Central,66.4,50.89,278000.0,Architecture,7,Mumbai,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,84.0,Others,90.9,Others,64.5,86.04,270000.0,Computer,1,Chennai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,80.6,Others,82.0,Others,77.6,91.0,400000.0,Architecture,5,Ahmedabad,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
F,55.0,Central,67.0,Central,64.0,60.0,,Architecture,5,Nagpur,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,73.24,Others,50.83,Others,64.27,64.0,500000.0,Computer,2,Noida,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,System analyst
F,63.0,Central,66.0,Central,64.0,68.0,,Buisness,6,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,87.0,Central,74.0,Central,65.0,75.0,300000.0,Architecture,1,Noida,Advance Math,Design skill,Leadership skills,Drawing,Town planner
F,69.5,Central,70.0,Central,72.0,57.2,250000.0,Architecture,7,kolkata,Advance Math,Design skill,Leadership skills,Drawing,Architect
F,63.4,Others,67.2,Others,60.0,58.06,,Buisness,7,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,67.0,Others,61.0,Central,72.0,72.0,264000.0,Computer,6,Pune,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,69.0,Central,62.0,Central,66.0,75.0,,Buisness,1,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
M,56.0,Central,52.0,Central,52.0,66.0,,Buisness,3,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
F,77.0,Others,73.0,Others,81.0,89.0,200000.0,Architecture,3,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Buisness,3,Delhi,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,59.0,Central,60.0,Others,56.0,55.0,220000.0,Buisness,5,Mumbai,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,58.0,Others,61.0,Others,61.0,58.0,250000.0,Architecture,7,Chennai,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,61.0,Others,62.0,Others,65.0,62.0,250000.0,Computer,3,Mumbai,Programming Language,Hardware Knowledge,TeamWork,Problem solving,Programmer
M,85.8,Central,73.6,Central,73.3,96.8,425000.0,Art,3,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,80.0,Others,80.0,Others,72.0,63.79,290000.0,Art,1,Mumbai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Buisness,6,Ahmedabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,77.4,Others,60.0,Others,64.74,92.0,300000.0,Buisness,3,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Management consultant
F,83.96,Others,53.0,Others,91.0,59.32,260000.0,Architecture,2,Banglore,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,82.0,Others,90.0,Others,83.0,80.0,200000.0,Art,3,Mumbai,Creative thinking,Composition skill,Leadership skills,Knowledge of art,Art director
F,63.0,Central,66.0,Central,64.0,68.0,,Computer,5,Chennai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,58.0,Others,60.0,Others,72.0,74.0,275000.0,Buisness,7,Banglore,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,51.0,Central,44.0,Central,57.0,64.0,,Art,6,Pune,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,65.2,Central,61.4,Central,64.8,93.4,270000.0,Architecture,3,Ahmedabad,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,67.0,Others,67.0,Others,73.0,59.0,295000.0,Computer,4,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,58.0,Central,61.0,Central,60.0,62.0,260000.0,Computer,3,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,52.0,Others,55.0,Others,56.3,59.0,,Art,7,Delhi,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
F,69.0,Central,73.0,Central,65.0,70.0,220000.0,Architecture,2,Noida,Advance Math,Design skill,Leadership skills,Drawing,Architect
M,56.6,Central,64.8,Central,70.2,84.27,336000.0,Buisness,1,Nagpur,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Financial Analysist
M,80.92,Others,78.5,Others,67.0,68.71,275000.0,Art,1,Banglore,Creative thinking,Composition skill,TeamWork,Knowledge of art,Commercial Artist
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Computer,7,Hyderabad,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,67.0,Central,53.0,Central,65.0,64.0,,Computer,5,Nagpur,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
F,69.0,Central,78.0,Central,72.0,71.0,300000.0,Computer,1,Gurgaon,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,54.4,Central,61.12,Central,56.2,67.0,,Architecture,5,Nagpur,Advance Math,Design skill,Leadership skills,Drawing,Town planner
M,65.0,Central,68.0,Central,64.0,75.0,250000.0,Architecture,6,Mumbai,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,52.0,Others,65.0,Others,57.0,75.0,,Buisness,4,Hyderabad,Buisness Knowledge,Critical Thinking,TeamWork,Data Analysis,Accountant
M,72.0,Others,63.0,Others,77.5,78.0,250000.0,Computer,1,Mumbai,Programming Language,Hardware Knowledge,Leadership skills,Problem solving,It consultant
M,73.0,Central,78.0,Others,65.0,95.46,420000.0,Architecture,3,Banglore,Advance Math,Design skill,TeamWork,Drawing,Structural Engineer
M,80.0,Others,80.0,Others,72.0,63.79,290000.0,Architecture,2,Delhi,Advance Math,Design skill,Leadership skills,Drawing,Architect
